,0,1,2,3,4,5,6,7,8,9,10,11,12,13
59,DNB,-,-,-,-,-,-,-,2,,v New Zealand,Nottingham,17 Jun 2015,ODI # 3657
60,4,21,10,0,0,40.00,6,caught,2,,v Australia,Southampton,3 Sep 2015,ODI # 3680
61,0,5,3,0,0,0.00,6,lbw,2,,v Australia,Lord's,5 Sep 2015,ODI # 3681
62,1,4,2,0,0,50.00,6,run out,1,,v Pakistan,Abu Dhabi,11 Nov 2015,ODI # 3707
63,11,10,10,1,0,110.00,5,bowled,1,,v Pakistan,Abu Dhabi,13 Nov 2015,ODI # 3708
64,49*,78,50,2,1,98.00,6,not out,2,,v Pakistan,Sharjah,17 Nov 2015,ODI # 3710
65,116*,68,52,10,8,223.07,4,not out,1,,v Pakistan,Dubai (DSC),20 Nov 2015,ODI # 3712
66,105,109,76,11,5,138.15,4,caught,1,,v South Africa,Bloemfontein,3 Feb 2016,ODI # 3732
67,48*,42,28,4,3,171.42,6,not out,2,,v South Africa,Gqeberha,6 Feb 2016,ODI # 3734
68,0,3,1,0,0,0.00,4,caught,1,,v South Africa,Centurion,9 Feb 2016,ODI # 3736
69,1,-,6,0,0,16.66,6,caught,1,,v South Africa,Johannesburg,12 Feb 2016,ODI # 3737
70,0,3,1,0,0,0.00,6,bowled,1,,v South Africa,Cape Town,14 Feb 2016,ODI # 3738
71,93,145,99,6,1,93.93,6,caught,2,,v Sri Lanka,Nottingham,21 Jun 2016,ODI # 3751
72,DNB,-,-,-,-,-,-,-,2,,v Sri Lanka,Birmingham,24 Jun 2016,ODI # 3753
73,DNB,-,-,-,-,-,-,-,2,,v Sri Lanka,Bristol,26 Jun 2016,ODI # 3755
74,17*,13,8,2,0,212.50,6,not out,2,,v Sri Lanka,The Oval,29 Jun 2016,ODI # 3757
75,70,65,45,7,1,155.55,6,bowled,1,,v Sri Lanka,Cardiff,2 Jul 2016,ODI # 3758
76,DNB,-,-,-,-,-,-,-,2,,v Pakistan,Southampton,24 Aug 2016,ODI # 3770
77,4,11,5,0,0,80.00,6,run out,2,,v Pakistan,Lord's,27 Aug 2016,ODI # 3771
78,90*,65,51,7,7,176.47,4,not out,1,,v Pakistan,Nottingham,30 Aug 2016,ODI # 3773
79,63,48,38,3,4,165.78,6,caught,1,,v Bangladesh,Mirpur,7 Oct 2016,ODI # 3791
80,57,84,57,7,0,100.00,6,lbw,2,,v Bangladesh,Mirpur,9 Oct 2016,ODI # 3793
81,25,34,26,3,0,96.15,6,bowled,2,,v Bangladesh,Chattogram,12 Oct 2016,ODI # 3794
82,31,40,36,1,2,86.11,5,caught,1,,v India,Pune,15 Jan 2017,ODI # 3819
83,10,16,9,1,0,111.11,6,stumped,2,,v India,Cuttack,19 Jan 2017,ODI # 3821
84,11,19,15,1,0,73.33,5,caught,1,,v India,Eden Gardens,22 Jan 2017,ODI # 3824
85,14,15,19,0,0,73.68,5,caught,1,,v West Indies,North Sound,3 Mar 2017,ODI # 3845
86,0,7,7,0,0,0.00,6,caught,2,,v West Indies,North Sound,5 Mar 2017,ODI # 3848
87,7,-,5,0,1,140.00,4,bowled,1,,v West Indies,Bridgetown,9 Mar 2017,ODI # 3849
88,7,8,7,1,0,100.00,6,caught,1,,v South Africa,Leeds,24 May 2017,ODI # 3872
89,65*,81,53,7,0,122.64,6,not out,1,,v South Africa,Southampton,27 May 2017,ODI # 3873
90,4,4,4,1,0,100.00,6,caught,1,,v South Africa,Lord's,29 May 2017,ODI # 3874
91,DNB,-,-,-,-,-,-,-,2,,v Bangladesh,The Oval,1 Jun 2017,ODI # 3875
92,61*,76,48,2,2,127.08,6,not out,1,,v New Zealand,Cardiff,6 Jun 2017,ODI # 3880
93,29*,35,32,3,1,90.62,6,not out,2,,v Australia,Birmingham,10 Jun 2017,ODI # 3885
94,4,16,7,0,0,57.14,6,caught,1,,v Pakistan,Cardiff,14 Jun 2017,ODI # 3889
