,0,1,2,3,4,5,6,7,8,9,10,11
62,10.0,1,53,0,5.30,1,2,,v New Zealand,Hamilton,5 Feb 2020,ODI # 4235
63,10.0,0,64,0,6.40,2,1,,v New Zealand,Auckland,8 Feb 2020,ODI # 4239
64,10.0,0,50,0,5.00,1,2,,v New Zealand,Mount Maunganui,11 Feb 2020,ODI # 4243
65,10.0,0,73,1,7.30,2,1,,v Australia,Sydney,27 Nov 2020,ODI # 4265
66,10.0,1,79,1,7.90,2,1,,v Australia,Sydney,29 Nov 2020,ODI # 4266
67,9.3,0,43,2,4.52,1,2,,v Australia,Canberra,2 Dec 2020,ODI # 4267
68,10.0,0,48,2,4.80,1,1,,v South Africa,Paarl,19 Jan 2022,ODI # 4344
69,10.0,0,37,1,3.70,1,2,,v South Africa,Paarl,21 Jan 2022,ODI # 4346
70,10.0,0,52,2,5.20,2,1,,v South Africa,Cape Town,23 Jan 2022,ODI # 4349
71,7.2,3,19,6,2.59,2,1,,v England,The Oval,12 Jul 2022,ODI # 4424
72,10.0,1,49,2,4.90,2,1,,v England,Lord's,14 Jul 2022,ODI # 4428
73,TDNB,-,-,-,-,-,-,,v Pakistan,Pallekele,2 Sep 2023,ODI # 4630
74,5.0,1,18,1,3.60,1,2,,v Pakistan,Colombo (RPS),10 Sep 2023,ODI # 4639
75,7.0,1,30,2,4.28,1,2,,v Sri Lanka,Colombo (RPS),12 Sep 2023,ODI # 4641
76,5.0,1,23,1,4.60,1,1,,v Sri Lanka,Colombo (RPS),17 Sep 2023,ODI # 4649
77,10.0,2,43,1,4.30,2,1,,v Australia,Mohali,22 Sep 2023,ODI # 4651
78,10.0,0,81,3,8.10,1,1,,v Australia,Rajkot,27 Sep 2023,ODI # 4657
79,10.0,0,35,2,3.50,1,1,,v Australia,Chennai,8 Oct 2023,ODI # 4662
80,10.0,0,39,4,3.90,1,1,,v Afghanistan,Delhi,11 Oct 2023,ODI # 4666
0,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,,Opposition,Ground,Start Date,
1,8.0,1,29,0,3.62,3,1,,v New Zealand,Dharamsala,16 Oct 2016,ODI # 3796
2,10.0,0,35,3,3.50,3,1,,v New Zealand,Delhi,20 Oct 2016,ODI # 3797
3,9.4,0,52,2,5.37,3,1,,v New Zealand,Mohali,23 Oct 2016,ODI # 3798
4,5.0,0,16,1,3.20,2,2,,v New Zealand,Visakhapatnam,29 Oct 2016,ODI # 3800
5,10.0,0,79,2,7.90,3,1,,v England,Pune,15 Jan 2017,ODI # 3819
6,9.0,0,81,2,9.00,2,2,,v England,Cuttack,19 Jan 2017,ODI # 3821
7,10.0,1,68,1,6.80,3,1,,v England,Eden Gardens,22 Jan 2017,ODI # 3824
8,4.0,0,20,1,5.00,2,2,,v Australia,Chennai,17 Sep 2017,ODI # 3910
9,7.0,1,39,0,5.57,2,2,,v Australia,Eden Gardens,21 Sep 2017,ODI # 3912
10,10.0,0,52,2,5.20,2,1,,v Australia,Indore,24 Sep 2017,ODI # 3914
11,10.0,2,51,2,5.10,2,1,,v Australia,Nagpur,1 Oct 2017,ODI # 3919
12,9.0,0,56,1,6.22,2,2,,v New Zealand,Wankhede,22 Oct 2017,ODI # 3928
13,10.0,2,38,2,3.80,2,1,,v New Zealand,Pune,25 Oct 2017,ODI # 3931
14,10.0,0,47,3,4.70,2,2,,v New Zealand,Kanpur,29 Oct 2017,ODI # 3932
15,7.0,1,32,1,4.57,2,2,,v Sri Lanka,Dharamsala,10 Dec 2017,ODI # 3939
16,10.0,0,43,2,4.30,3,2,,v Sri Lanka,Mohali,13 Dec 2017,ODI # 3941
17,8.0,1,39,1,4.87,2,1,,v Sri Lanka,Visakhapatnam,17 Dec 2017,ODI # 3942
18,10.0,1,35,4,3.50,2,1,,v West Indies,Pune,27 Oct 2018,ODI # 4062
19,8.0,1,25,0,3.12,2,2,,v West Indies,Brabourne,29 Oct 2018,ODI # 4063
20,6.0,1,11,2,1.83,2,1,,v West Indies,Thiruvananthapuram,1 Nov 2018,ODI # 4064
21,10.0,0,60,2,6.00,2,1,,v Australia,Hyderabad,2 Mar 2019,ODI # 4102
22,10.0,0,29,2,2.90,2,2,,v Australia,Nagpur,5 Mar 2019,ODI # 4106
23,10.0,0,53,0,5.30,2,1,,v Australia,Ranchi,8 Mar 2019,ODI # 4109
24,8.5,0,63,3,7.13,2,2,,v Australia,Mohali,10 Mar 2019,ODI # 4111
25,10.0,0,39,0,3.90,3,1,,v Australia,Delhi,13 Mar 2019,ODI # 4113
26,7.0,0,50,0,7.14,2,2,,v Australia,Wankhede,14 Jan 2020,ODI # 4231
27,9.1,2,32,1,3.49,1,2,,v Australia,Rajkot,17 Jan 2020,ODI # 4232
28,10.0,0,38,0,3.80,1,1,,v Australia,Bengaluru,19 Jan 2020,ODI # 4233
29,10.0,2,43,1,4.30,2,1,,v Australia,Mohali,22 Sep 2023,ODI # 4651
30,10.0,0,81,3,8.10,1,1,,v Australia,Rajkot,27 Sep 2023,ODI # 4657
31,10.0,0,35,2,3.50,1,1,,v Australia,Chennai,8 Oct 2023,ODI # 4662
32,10.0,0,39,4,3.90,1,1,,v Afghanistan,Delhi,11 Oct 2023,ODI # 4666
0,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,,Opposition,Ground,Start Date,
1,10.0,0,40,2,4.00,3,1,,v Australia,Sydney,23 Jan 2016,ODI # 3727
2,9.5,2,28,4,2.84,3,1,,v Zimbabwe,Harare,11 Jun 2016,ODI # 3742
3,6.0,0,27,1,4.50,3,1,,v Zimbabwe,Harare,13 Jun 2016,ODI # 3744
4,10.0,1,22,4,2.20,3,1,,v Zimbabwe,Harare,15 Jun 2016,ODI # 3746
5,5.0,0,23,0,4.60,3,2,,v Pakistan,Birmingham,4 Jun 2017,ODI # 3878
6,10.0,0,52,0,5.20,3,2,,v Sri Lanka,The Oval,8 Jun 2017,ODI # 3882
7,8.0,0,28,2,3.50,2,1,,v South Africa,The Oval,11 Jun 2017,ODI # 3886
8,10.0,1,39,2,3.90,2,1,,v Bangladesh,Birmingham,15 Jun 2017,ODI # 3891
9,9.0,0,68,0,7.55,2,1,,v Pakistan,The Oval,18 Jun 2017,ODI # 3894
10,6.2,0,22,2,3.47,3,1,,v Sri Lanka,Dambulla,20 Aug 2017,ODI # 3905
11,10.0,2,43,4,4.30,2,1,,v Sri Lanka,Pallekele,24 Aug 2017,ODI # 3906
