,0,1,2,3,4,5,6,7,8,9,10,11,12,13
24,0,3,0,0,0,-,3,run out,1,,v Zimbabwe,Bulawayo,28 May 2010,ODI # 2981
25,82,125,92,4,0,89.13,3,caught,2,,v Sri Lanka,Bulawayo,30 May 2010,ODI # 2983
26,18,28,29,1,0,62.06,3,caught,1,,v Zimbabwe,Harare,3 Jun 2010,ODI # 2986
27,68,123,95,5,0,71.57,3,caught,1,,v Sri Lanka,Harare,5 Jun 2010,ODI # 2988
28,11,35,22,0,0,50.00,3,stumped,2,,v Bangladesh,Dambulla,16 Jun 2010,ODI # 2993
29,18,31,27,1,0,66.66,3,bowled,2,,v Pakistan,Dambulla,19 Jun 2010,ODI # 2996
30,10,13,14,1,0,71.42,3,caught,1,,v Sri Lanka,Dambulla,22 Jun 2010,ODI # 2999
31,28,57,34,4,0,82.35,3,caught,1,,v Sri Lanka,Dambulla,24 Jun 2010,ODI # 3001
32,0,5,3,0,0,0.00,3,caught,2,,v Sri Lanka,Dambulla,16 Aug 2010,ODI # 3032
33,8,22,16,1,0,50.00,3,caught,1,,v New Zealand,Dambulla,25 Aug 2010,ODI # 3039
34,37,98,57,5,0,64.91,3,caught,2,,v Sri Lanka,Dambulla,28 Aug 2010,ODI # 3040
35,118,193,121,11,1,97.52,3,caught,2,,v Australia,Visakhapatnam,20 Oct 2010,ODI # 3060
36,105,162,104,10,0,100.96,3,caught,1,,v New Zealand,Guwahati,28 Nov 2010,ODI # 3070
37,64,78,73,8,0,87.67,3,caught,2,,v New Zealand,Jaipur,1 Dec 2010,ODI # 3072
38,63*,83,70,6,2,90.00,3,not out,2,,v New Zealand,Vadodara,4 Dec 2010,ODI # 3074
39,0,3,2,0,0,0.00,3,caught,2,,v New Zealand,Bengaluru,7 Dec 2010,ODI # 3076
40,2,10,8,0,0,25.00,3,caught,2,,v New Zealand,Chennai,10 Dec 2010,ODI # 3077
41,54,122,70,2,1,77.14,3,caught,2,,v South Africa,Durban,12 Jan 2011,ODI # 3079
42,22,43,34,1,0,64.70,3,run out,1,,v South Africa,Johannesburg,15 Jan 2011,ODI # 3080
43,28,51,41,5,0,68.29,3,caught,2,,v South Africa,Cape Town,18 Jan 2011,ODI # 3082
44,87*,126,92,7,2,94.56,3,not out,2,,v South Africa,Gqeberha,21 Jan 2011,ODI # 3084
45,2,11,6,0,0,33.33,3,caught,2,,v South Africa,Centurion,23 Jan 2011,ODI # 3087
46,100*,113,83,8,2,120.48,4,not out,1,,v Bangladesh,Mirpur,19 Feb 2011,ODI # 3100
47,8,12,5,1,0,160.00,7,bowled,1,,v England,Bengaluru,27 Feb 2011,ODI # 3110
48,34,82,53,3,0,64.15,4,run out,2,,v Ireland,Bengaluru,6 Mar 2011,ODI # 3121
49,12,16,20,2,0,60.00,5,bowled,2,,v Netherlands,Delhi,9 Mar 2011,ODI # 3124
50,1,2,3,0,0,33.33,7,caught,1,,v South Africa,Nagpur,12 Mar 2011,ODI # 3128
51,59,128,76,5,0,77.63,3,bowled,1,,v West Indies,Chennai,20 Mar 2011,ODI # 3141
52,24,38,33,1,0,72.72,4,caught,2,,v Australia,Ahmedabad,24 Mar 2011,ODI # 3143
53,9,20,21,0,0,42.85,4,caught,1,,v Pakistan,Mohali,30 Mar 2011,ODI # 3147
54,35,69,49,4,0,71.42,4,caught,2,,v Sri Lanka,Wankhede,2 Apr 2011,ODI # 3148
55,2,5,8,0,0,25.00,3,caught,2,,v West Indies,Port of Spain,6 Jun 2011,ODI # 3159
56,81,118,103,6,1,78.64,3,caught,2,,v West Indies,Port of Spain,8 Jun 2011,ODI # 3160
57,0,1,1,0,0,0.00,3,lbw,2,,v West Indies,North Sound,11 Jun 2011,ODI # 3161
58,22,68,33,1,0,66.66,3,stumped,2,,v West Indies,North Sound,13 Jun 2011,ODI # 3162
59,94,135,104,10,0,90.38,3,run out,1,,v West Indies,Kingston,16 Jun 2011,ODI # 3163
60,55,92,73,4,0,75.34,4,bowled,1,,v England,Chester-le-Street,3 Sep 2011,ODI # 3186
61,9,9,9,0,0,100.00,4,caught,1,,v England,Southampton,6 Sep 2011,ODI # 3187
62,7,18,18,0,0,38.88,4,caught,1,,v England,The Oval,9 Sep 2011,ODI # 3189
63,16,40,36,1,0,44.44,4,caught,1,,v England,Lord's,11 Sep 2011,ODI # 3191
64,107,102,93,9,1,115.05,4,hit wicket,1,,v England,Cardiff,16 Sep 2011,ODI # 3195
65,37,70,63,0,0,58.73,4,caught,1,,v England,Hyderabad,14 Oct 2011,ODI # 3199
66,112*,134,98,16,0,114.28,4,not out,2,,v England,Delhi,17 Oct 2011,ODI # 3201
67,35,42,30,5,0,116.66,4,lbw,2,,v England,Mohali,20 Oct 2011,ODI # 3205
68,86*,-,99,11,0,86.86,4,not out,2,,v England,Wankhede,23 Oct 2011,ODI # 3207
69,0,5,5,0,0,0.00,3,bowled,1,,v England,Eden Gardens,25 Oct 2011,ODI # 3210
70,3,13,6,0,0,50.00,4,bowled,2,,v West Indies,Cuttack,29 Nov 2011,ODI # 3217
71,117,154,123,14,0,95.12,4,caught,2,,v West Indies,Visakhapatnam,2 Dec 2011,ODI # 3219
72,20,21,30,3,0,66.66,4,lbw,2,,v West Indies,Ahmedabad,5 Dec 2011,ODI # 3221
73,23*,15,11,3,0,209.09,6,not out,1,,v West Indies,Indore,8 Dec 2011,ODI # 3223
74,80,99,85,5,0,94.11,5,caught,1,,v West Indies,Chennai,11 Dec 2011,ODI # 3224
75,31,30,34,3,0,91.17,3,caught,2,,v Australia,Melbourne,5 Feb 2012,ODI # 3231
76,77,156,94,8,1,81.91,3,run out,2,,v Sri Lanka,Perth,8 Feb 2012,ODI # 3233
77,18,41,28,1,0,64.28,3,caught,2,,v Australia,Adelaide,12 Feb 2012,ODI # 3237
78,15,32,25,1,0,60.00,3,lbw,2,,v Sri Lanka,Adelaide,14 Feb 2012,ODI # 3239
79,12,44,25,0,0,48.00,3,caught,2,,v Australia,Brisbane,19 Feb 2012,ODI # 3244
80,66,116,83,2,0,79.51,4,caught,2,,v Sri Lanka,Brisbane,21 Feb 2012,ODI # 3246
81,21,36,27,2,0,77.77,4,caught,2,,v Australia,Sydney,26 Feb 2012,ODI # 3250
82,133*,133,86,16,2,154.65,4,not out,2,,v Sri Lanka,Hobart,28 Feb 2012,ODI # 3251
83,108,148,120,7,0,90.00,3,caught,1,,v Sri Lanka,Mirpur,13 Mar 2012,ODI # 3259
84,66,126,82,5,0,80.48,3,bowled,1,,v Bangladesh,Mirpur,16 Mar 2012,ODI # 3261
85,183,211,148,22,1,123.64,3,caught,2,,v Pakistan,Mirpur,18 Mar 2012,ODI # 3263
86,106,158,113,9,0,93.80,3,caught,1,,v Sri Lanka,Hambantota,21 Jul 2012,ODI # 3291
87,1,6,5,0,0,20.00,3,caught,1,,v Sri Lanka,Hambantota,24 Jul 2012,ODI # 3292
88,38,80,65,2,0,58.46,3,caught,2,,v Sri Lanka,Colombo (RPS),28 Jul 2012,ODI # 3293
89,128*,187,119,12,1,107.56,3,not out,2,,v Sri Lanka,Colombo (RPS),31 Jul 2012,ODI # 3294
90,23,42,35,2,0,65.71,3,lbw,1,,v Sri Lanka,Pallekele,4 Aug 2012,ODI # 3295
91,0,9,5,0,0,0.00,3,bowled,1,,v Pakistan,Chennai,30 Dec 2012,ODI # 3314
92,6,12,9,1,0,66.66,3,caught,2,,v Pakistan,Eden Gardens,3 Jan 2013,ODI # 3315
93,7,25,17,1,0,41.17,3,caught,1,,v Pakistan,Delhi,6 Jan 2013,ODI # 3316
94,15,45,22,1,0,68.18,3,caught,2,,v England,Rajkot,11 Jan 2013,ODI # 3318
